function,algorithm,pop_size,max_gens,found_x,found_y,found_value,known_optimum_value,abs_error
eggholder,DE,20,50,-465.69369,385.71742,-894.5789,-959.6407,65.0618
eggholder,DE,20,200,512.0,404.23181,-959.64066,-959.6407,3.7e-05
eggholder,DE,50,50,512.0,404.23171,-959.64066,-959.6407,3.7e-05
eggholder,DE,50,200,512.0,404.23181,-959.64066,-959.6407,3.7e-05
eggholder,DE,100,50,512.0,404.23181,-959.64066,-959.6407,3.7e-05
eggholder,DE,100,200,512.0,404.23181,-959.64066,-959.6407,3.7e-05
eggholder,DE,200,50,512.0,404.23181,-959.64066,-959.6407,3.7e-05
eggholder,DE,200,200,512.0,404.23181,-959.64066,-959.6407,3.7e-05
eggholder,PSO,20,50,-388.87279,-412.2491,-748.19662,-959.6407,211.444079
eggholder,PSO,20,200,347.32697,499.41539,-888.94913,-959.6407,70.691575
eggholder,PSO,50,50,-465.71107,385.74132,-894.57872,-959.6407,65.061982
eggholder,PSO,50,200,512.0,404.23181,-959.64066,-959.6407,3.7e-05
eggholder,PSO,100,50,512.0,404.23017,-959.64066,-959.6407,4e-05
eggholder,PSO,100,200,512.0,404.23181,-959.64066,-959.6407,3.7e-05
eggholder,PSO,200,50,512.0,404.23195,-959.64066,-959.6407,3.7e-05
eggholder,PSO,200,200,512.0,404.23181,-959.64066,-959.6407,3.7e-05
holder_table,DE,20,50,8.05101,10.0,-18.02072,-19.2085,1.187783
holder_table,DE,20,200,8.05502,-9.66459,-19.2085,-19.2085,3e-06
holder_table,DE,50,50,-8.05502,9.66459,-19.2085,-19.2085,3e-06
holder_table,DE,50,200,8.05502,9.66459,-19.2085,-19.2085,3e-06
holder_table,DE,100,50,-8.05502,9.66459,-19.2085,-19.2085,3e-06
holder_table,DE,100,200,8.05502,-9.66459,-19.2085,-19.2085,3e-06
holder_table,DE,200,50,8.05502,-9.66459,-19.2085,-19.2085,3e-06
holder_table,DE,200,200,-8.05502,-9.66459,-19.2085,-19.2085,3e-06
holder_table,PSO,20,50,-8.05117,-10.0,-18.02072,-19.2085,1.187784
holder_table,PSO,20,200,8.05502,-9.66459,-19.2085,-19.2085,3e-06
holder_table,PSO,50,50,8.05101,10.0,-18.02072,-19.2085,1.187783
holder_table,PSO,50,200,8.05502,9.66459,-19.2085,-19.2085,3e-06
holder_table,PSO,100,50,8.0554,9.6646,-19.2085,-19.2085,1e-06
holder_table,PSO,100,200,-8.05502,-9.66459,-19.2085,-19.2085,3e-06
holder_table,PSO,200,50,8.05534,-9.66473,-19.2085,-19.2085,1e-06
holder_table,PSO,200,200,-8.05502,-9.66459,-19.2085,-19.2085,3e-06
